2026-04-14 17:34:29,831 | INFO | Trainer initialized | {"device": "cpu", "num_sensors": 7, "run_name": "simulated_run_20260414_173429", "window_size": 60}
2026-04-14 17:34:29,831 | INFO | Training started | {"num_epochs": 15, "patience": 5}
2026-04-14 17:34:57,337 | INFO | Epoch completed | {"epoch": 1, "epoch_time_sec": 27.50597596168518, "f1": 0.3689239777103621, "mae": 2227.957763671875, "train_loss": 0.8800809510210728, "val_loss": 0.7024024128913879}
2026-04-14 17:34:57,341 | INFO | New best model | {"best_val_loss": 0.7024024128913879, "epoch": 1}
2026-04-14 17:35:25,334 | INFO | Epoch completed | {"epoch": 2, "epoch_time_sec": 27.99288821220398, "f1": 0.3659011160157516, "mae": 1737.1988525390625, "train_loss": 0.61054723567151, "val_loss": 0.7510230898857116}
2026-04-14 17:35:53,785 | INFO | Epoch completed | {"epoch": 3, "epoch_time_sec": 28.450713872909546, "f1": 0.39415071890616654, "mae": 486.1595458984375, "train_loss": 0.5193855661026975, "val_loss": 0.5125654339790344}
2026-04-14 17:35:53,788 | INFO | New best model | {"best_val_loss": 0.5125654339790344, "epoch": 3}
2026-04-14 17:36:22,328 | INFO | Epoch completed | {"epoch": 4, "epoch_time_sec": 28.539993047714233, "f1": 0.40662284567206325, "mae": 1152.842041015625, "train_loss": 0.4888358211263697, "val_loss": 0.6653225123882294}
2026-04-14 17:36:52,722 | INFO | Epoch completed | {"epoch": 5, "epoch_time_sec": 30.393323183059692, "f1": 0.3931737550041007, "mae": 495.51068115234375, "train_loss": 0.4626826783444019, "val_loss": 0.4903984069824219}
2026-04-14 17:36:52,724 | INFO | New best model | {"best_val_loss": 0.4903984069824219, "epoch": 5}
2026-04-14 17:37:23,420 | INFO | Epoch completed | {"epoch": 6, "epoch_time_sec": 30.695101976394653, "f1": 0.46202331829697607, "mae": 460.2944030761719, "train_loss": 0.447541170297785, "val_loss": 0.5918925821781158}
2026-04-14 17:37:55,653 | INFO | Epoch completed | {"epoch": 7, "epoch_time_sec": 32.23256874084473, "f1": 0.40867470553253393, "mae": 789.1742553710938, "train_loss": 0.4293114536620201, "val_loss": 0.5298754513263703}
2026-04-14 17:38:27,583 | INFO | Epoch completed | {"epoch": 8, "epoch_time_sec": 31.929732084274292, "f1": 0.5135338375157499, "mae": 250.9058074951172, "train_loss": 0.4196556350018116, "val_loss": 0.42644127905368806}
2026-04-14 17:38:27,586 | INFO | New best model | {"best_val_loss": 0.42644127905368806, "epoch": 8}
2026-04-14 17:38:57,808 | INFO | Epoch completed | {"epoch": 9, "epoch_time_sec": 30.221468925476074, "f1": 0.6622833386725148, "mae": 278.81744384765625, "train_loss": 0.4084157664725121, "val_loss": 0.37179283797740936}
2026-04-14 17:38:57,811 | INFO | New best model | {"best_val_loss": 0.37179283797740936, "epoch": 9}
2026-04-14 17:39:27,732 | INFO | Epoch completed | {"epoch": 10, "epoch_time_sec": 29.921547889709473, "f1": 0.36575875395973795, "mae": 380.1463928222656, "train_loss": 0.4052279997379222, "val_loss": 0.6418592214584351}
2026-04-14 17:39:57,699 | INFO | Epoch completed | {"epoch": 11, "epoch_time_sec": 29.96610689163208, "f1": 0.6596243884475913, "mae": 253.9584503173828, "train_loss": 0.3915522681905868, "val_loss": 0.4101255118846893}
2026-04-14 17:40:27,342 | INFO | Epoch completed | {"epoch": 12, "epoch_time_sec": 29.64194083213806, "f1": 0.5465441391002903, "mae": 220.91690063476562, "train_loss": 0.37451968801782487, "val_loss": 0.3367392152547836}
2026-04-14 17:40:27,345 | INFO | New best model | {"best_val_loss": 0.3367392152547836, "epoch": 12}
2026-04-14 17:40:57,414 | INFO | Epoch completed | {"epoch": 13, "epoch_time_sec": 30.068809986114502, "f1": 0.3717486910008715, "mae": 476.93756103515625, "train_loss": 0.3638826500862203, "val_loss": 0.5718168020248413}
2026-04-14 17:41:26,673 | INFO | Epoch completed | {"epoch": 14, "epoch_time_sec": 29.258090019226074, "f1": 0.6741890037058084, "mae": 202.87338256835938, "train_loss": 0.3766032964625257, "val_loss": 0.4468766778707504}
2026-04-14 17:41:56,703 | INFO | Epoch completed | {"epoch": 15, "epoch_time_sec": 30.02928400039673, "f1": 0.588235292647222, "mae": 162.40701293945312, "train_loss": 0.36044742896201765, "val_loss": 0.344152906537056}
2026-04-14 17:41:56,706 | INFO | Best model restored | {"best_val_loss": 0.3367392152547836}
